Diabetes_Duration,Year,Avg_HbA1c,CumMean_HbA1c,Hazard,Probability,Beta
0,1,7.844514346608483,7.844514346608483,0.003753638385845123,0.003746602291683443,
1,2,7.908592632851072,7.876553489729777,0.006728658684672685,0.013367172496413837,71.74234900909771
2,3,8.064743866430572,7.939283615296709,0.01044487014427239,0.030848769297889378,22.490419983842596
3,4,8.205124059140195,8.005743726257581,0.015366252265236286,0.059614149852282194,22.371509991718117
4,5,8.429283903904027,8.09045176178687,0.022269448761972396,0.10537195906290475,13.766272385031913
5,6,8.536949206396304,8.164868002555108,0.03177755944770817,0.17359090583904624,28.013538420267107
6,7,8.687379132094424,8.239512449632153,0.045183889284403325,0.2711499238560948,20.150474887652294
7,8,8.754013275403523,8.303825052853576,0.06375253359271503,0.3995165923541776,45.05565465818278
8,9,8.888593648369094,8.36879934124419,0.09012946970162297,0.555659992660148,22.694345975028433
9,10,8.976097267008148,8.429529133820584,0.12732801198431584,0.72008803048742,35.27023760740329
10,11,9.080891337784427,8.488743879635479,0.18029490151405228,0.8623779221214183,29.96659762916782
11,12,9.220095490052511,8.549689847170232,0.2569274075105109,0.9541843200802499,23.28263743375539
12,13,9.280076177164817,8.605873411015969,0.3660955082377878,0.9914278920411558,54.60841219412112
13,14,9.333795164743579,8.657867821996513,0.5216820936028241,0.9993268546715778,61.35956433623056
14,15,9.349462729151425,8.703974149140175,0.7414137222350912,0.9999852047715844,209.57856473910454
15,16,9.44037079838979,8.749998939718274,1.0582785235874195,0.9999999557077615,36.77408880239068
16,17,9.405420301733129,8.788553137483854,1.5013947712161477,0.9999999999917739,-94.29517160729172
17,18,9.450148342801294,8.825308426668157,2.132404989253699,1.0,73.9533339464928
18,19,9.47771739843363,8.859645740971601,3.0283516258721805,1.0,120.41190590319493
19,20,9.516607736661959,8.89249384075612,4.305390475074911,1.0,85.92278367324842
20,21,9.574574997942838,8.92497389586025,6.138274173791808,1.0,58.40503159030642
